leaseNumber,company,supplier,arrangement,invoicing,notes,status
1005-077,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1005-078,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-002,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-003,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-005,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-007,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-011,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-012,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-016,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-017,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-018,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-019,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-022,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-024,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-025,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-026,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-027,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-028,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-029,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-030,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-031,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-032,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-033,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-035,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-037,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-038,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-039,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-040,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-041,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-042,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-043,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-044,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-045,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-046,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-047,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-048,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-050,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-051,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-053,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-054,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-057,AGI Cargo LLC,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-058,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-060,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
1016-49,AGI Ground Inc,XCED Aviation Services - TAS/ATS/AGI US,Regular,First of the Month,,Enabled
20038-01,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-02,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-03,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-04,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-05,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-06,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-08,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-10,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-11,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-12,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-14,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-15,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20038-16,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20066-01,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20066-03,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20066-05,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20066-06,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20088-05,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month,,Enabled
20088-06,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month,,Enabled
20088-12,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month,,Enabled
20088-13,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month,,Enabled
20088-14,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,First of the Month,,Enabled
20088-18,AGI Ground Inc,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
2113-001,AGI Cargo LLC,Harbor Capital Leasing LLC,Regular,First of the Month,,Enabled
2113-002,AGI Cargo LLC,Harbor Capital Leasing LLC,Regular,First of the Month,,Enabled
2120-002,AGI Cargo LLC,Harbor Capital Leasing LLC,Regular,First of the Month,,Enabled
2120-003,AGI Cargo LLC,Harbor Capital Leasing LLC,Regular,First of the Month,,Enabled
50345992-10000326006,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,First of the Month,,Enabled
50383859-10000356435,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,First of the Month,,Enabled
50406105-10000372712,AGI Cargo LLC,Toyota Commercial Finance -TAS,Regular,First of the Month,,Enabled
ACU-804,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month,,Enabled
B120022005,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month,,Enabled
B25023014,AGI Ground Inc,"Charter America Holdings, Inc.",Regular,First of the Month,,Enabled
B25023036,AGI Ground Inc,"Charter America Holdings, Inc.",Regular,First of the Month,,Enabled
C30i18060,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month,,Enabled
C30i21006,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month,,Enabled
T47948,AGI Cargo LLC,"Charter America Holdings, Inc.",Regular,First of the Month,,Enabled
T57324,AGI Ground Inc,"Charter America Holdings, Inc.",Regular,First of the Month,,Enabled
TA-1001,AGI Cargo LLC,Fortbrand Hold Co DBA Fortbrand Services LLC,Regular,First of the Month,,Enabled
20088-01,AGI Ground Inc,Fortbrand Services LLC Main-US,Seasonal,Net-30,,Enabled
1163,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30,,Enabled
1170,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30,,Enabled
1623,AGI Ground Inc,Fortbrand Services LLC Main-US,Regular,Net-30,,Enabled
8612,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30,,Enabled
9013,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30,,Enabled
9495,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30,,Enabled
10398,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30,,Enabled
14007,AGI Ground Inc,"GSE Rentals, Inc.",Regular,Net-30,,Enabled
401090,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
403127,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
403128,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
403129,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
403130,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
403139,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
403140,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
403194,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
439059,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
488432,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
546356,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
699723,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
10002787,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
10860302,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
10921573,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
11968487,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
98807014,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
98941403,AGI Post Inc,Penske Truck Leasing AGI Post-0779-10,Regular,Net-30,,Enabled
1001725936,AGI Cargo LLC,Williams Scotsman,Regular,Net-30,,Enabled
1001893953,AGI Cargo LLC,Williams Scotsman,Regular,Net-30,,Enabled
6424108384,AGI Cargo LLC,Wolter Inc,Regular,Net-30,,Enabled
